"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
17134,"North Goa, Goa, India","Goa, India",India,"15.481764334151, 73.807096481323","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Miramar",75,0,75,705.48,1.55,42,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
17135,"Kangra, Himachal Pradesh, India","Himachal Pradesh, India",India,"31.935201201062, 76.101307868958","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Beas River, Punjab",128,0,128,903.9,1.55,40,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
17136,"Ludhiana, Punjab, India","Punjab, India",India,"30.992638366845, 75.794076919556","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Ludhiana",135,0,135,1146.4,1.24,78,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
17137,"Ambala, Haryana, India","Haryana, India",India,"30.335768752028, 76.869916319847","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Ambala",21,0,21,33.07,0.31,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
17138,"Gurdaspur, Punjab, India","Punjab, India",India,"32.020302543266, 75.466375350952","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Gurdaspur",38,0,38,66.14,0.31,10,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
17139,"Amritsar, Punjab, India","Punjab, India",India,"31.61037424782, 74.878306388855","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Amritsar",122,0,122,176.37,0.31,27,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
17140,"Karnal, Haryana, India","Haryana, India",India,"29.691240314864, 76.958080530167","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Karnal",20,0,20,88.18,0.31,18,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
17141,"Kota, Rajasthan, India","Rajasthan, India",India,"25.212129231863, 75.857430696487","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Kota",60,0,60,187.39,0.31,37,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
17142,"Ajmer, Rajasthan, India","Rajasthan, India",India,"26.486000912567, 74.552670121193","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Pushkar",30,0,30,180.78,0.31,40,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
17143,"Jaipur, Rajasthan, India","Rajasthan, India",India,"26.952356838801, 75.843794345856","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Jaipur",31,0,31,149.91,0.31,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
17144,"Udaipur, Rajasthan, India","Rajasthan, India",India,"24.593663306182, 73.680592775345","Land (beach, shoreline and inland)",2016-11-05,"IMF North -  Udaipur",75,0,75,132.28,1.24,22,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
