CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Swiss Litter Report,greifensee_f‰llanden_meistery,CH,,57,,,20170508,Cleanup,,8.653722816,47.36093814,8.653419634,47.36140592,,4,2,,0,0,,0,,,2,,,,,,,0,0,0,0,1,0,50,0,,19,0,0,0,0,0,,0,,,,,,,,,1,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,22,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,1,0,0,9,0,,,0,,,,0,,,0,,0,0,0,1,0,,,0,3,,,,0,0,0,0
Independent,pineto ,IT,Mediterranean Sea,179,,,20160505,Cleanup,,14.06689592,42.6120597,14.06797795,42.61066326,,1,0,,1,1,,5,,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Swiss Litter Report,aare_kˆniz_hoppej,CH,,22,,,20180124,Cleanup,,7.458170283,46.9345885,7.458467186,46.93457381,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,17,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,2,0,1,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,1,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,3,0,0,0,,,,,0,,0,0,0,,0,0,3,8,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,3,0,0,0
DeFishGear - Slovenia,Strunjan MS Monitoring ,SI,Mediterranean Sea,101,Urban,Pebbels,20150318,Monitoring,,13.60225756,45.53593545,13.60188741,45.53680532,,7,,,1,,,7,,,,,,,,,,2,1,,3,5,,98,,,,1,,1,1,3,,,,,,,,15,,,1,9,,2,,,,,4,,,,,,1,2,,,1,,,,,,14,,16,,,,,,1,9,,,,1,7,,,,,,,,3,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,,,6,,,,1,,,,,,,1,,,,,2,3,,,,,,,,,,,1,,,,1,,5,,,1,10,,,,85,,,
Independent,praia da Lagoa,PT,North-east Atlantic Ocean,1,Urban,Sandy,20150503,Cleanup,,-8.775482082,41.3916902,-8.775477292,41.39169915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,aare_kehrsatz_stolten,CH,,46,,,20170614,Cleanup,,7.488301149,46.9235719,7.488904817,46.92352772,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,1,,,,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,3,1,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Surfrider Foundation Europe,"66 Route de la Pointe du Bill, 56860 SÈnÈ, France",FR,North-east Atlantic Ocean,74,,,20150801,Cleanup,,-2.73405,47.6004,-2.73305,47.6004,,15,,,10,3,,15,,,,,,,,,,15,,,,,8,300,,,30,10,,5,4,10,,,,,,,,,,,,8,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,300,,,
Hold Danmark Rent,K¯ge Strand,DK,Baltic Sea,431,,,20131021,Cleanup,,12.19599446,55.47257394,12.1977297,55.47632166,,10,,,5,,,2,,,,,,,,,,7,,,,,1,155,,,16,,,,5,2,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,10,4,,,,,,,,,,4,,,,,,,1,,2,1,1,,3,2,,,,,,,,,,,,,,,,,9,,1,4,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Surfrider Foundation Europe,"2 All?e de Barqueroute, 13620 Carry-le-Rouet, France",FR,Mediterranean Sea,81,,,20150317,Cleanup,,5.16029,43.3291,5.16129,43.3291,,10,6,,,,,5,,,,,,,,,,15,,,,,15,,,,,15,,,,20,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,100,,,,,,,,,,,,25,,,,,,,,,,,,,,1,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
Swiss Litter Report,greifensee_uster_fischerb_ 2,CH,,25,Urban,Pebbels,20170619,Cleanup,,8.689880503,47.34743605,8.689901364,47.34720766,,0,2,,0,0,,0,,,0,,,,,,,1,0,0,0,0,0,23,0,,2,0,0,0,0,1,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,4,,,0,0,,,,,3,0,2,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,32,0,,0,,,1,,0,1,0,0,,,,0,,0,0,0,,,0,0,0,0,0,11,1,0,0,,,,,0,,0,0,0,,0,0,1,1,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
